SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,Lan,Long,LowestRate
66204,7000 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $2,1HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101445,-118.344223,1.5
52151,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025598,-118.288464,1
56847,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.057021,-118.424231,1
52161,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025599,-118.289329,1
52115,601 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.022871,-118.281876,1
56124,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.059076,-118.422114,1
66465,6300 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101531,-118.32764,1.5
61123,201 S MAIN ST,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.99658,-118.478269,1
HP272,100 N AVE 52,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,4A-630A Wed,34.10663,-118.199685,1
66406,6600 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101492,-118.334078,1.5
56486,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050446,-118.434048,1
56167,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.054836,-118.428281,1
52212,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.0254,-118.289758,1
56425,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048944,-118.439124,1
66657,6201 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $2,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101725,-118.324598,1.5
56252,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048252,-118.441685,1
61440,10 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Tue,33.987405,-118.472604,1
61333,101 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,,33.988143,-118.471666,1
56854,10300 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058042,-118.422774,1
66450,6300 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.10152,-118.329023,1.5
56430,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049047,-118.438762,1
52224,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025399,-118.288827,1
82813,10 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Mon,33.979316,-118.46623,1
66436,6400 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101515,-118.330342,1.5
93102,3401 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.08821,-118.276038,1
56150,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.056336,-118.426101,1
LH140A,2500 DALY ST,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.075277,-118.215577,1
93235,3700 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.090604,-118.278272,1
61431,10 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Tue,33.987257,-118.472842,1
66651,6101 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $2,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101729,-118.324034,1.5
56332,11001 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048224,-118.442905,1
93210,3900 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.091768,-118.279853,1
56126,10301 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058739,-118.422603,1
82709,11 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Tue,33.979568,-118.466087,1
82708,11 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Tue,33.979582,-118.466062,1
56639,10600 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.05339,-118.429707,1
SL418,2800 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.082612,-118.273091,1
SA125,1700 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.077228,-118.258704,1
56826,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.056063,-118.425648,1
56802,10500 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.054894,-118.42735,1
56473,10800 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050086,-118.434913,1
SA79,2100 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.077336,-118.264491,1
66291,6600 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101477,-118.335851,1.5
SA49,2001 SUNSET BL,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.077877,-118.262596,1
66111,6301 W HOLLYWOOD BLVD,Multi-Space,TOD,$2 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101704,-118.327529,2
61112,201 S MAIN ST,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.997177,-118.478857,1
56819,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.055655,-118.426244,1
56440,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049251,-118.438038,1
66593,1500 N VINE ST,Multi-Space,TOD,$1.5 - $2,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.098829,-118.326561,1.5
56490,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050598,-118.433813,1
66415,6500 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101496,-118.332715,1.5
56466,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050358,-118.434078,1
56178,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,4HR,NP 9A-11A Daily | PKG 11A-12A Daily,,34.053564,-118.430131,1
LH20,2400 BROADWAY,Single-Space,FLAT,$1.00 ,30MIN,8A-6P Mon-Sat,,34.073528,-118.216714,1
66296,6600 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101482,-118.335445,1.5
56114,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.059678,-118.421234,1
61358,11 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Mon,33.987484,-118.472728,1
61405,10 E MARKET ST,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Tue,33.988009,-118.473198,1
61245,200 E ROSE AVE,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,8A-10A Mon,33.99635,-118.477201,1
52171,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025598,-118.290109,1
66432,6400 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101513,-118.330651,1.5
56451,10800 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049502,-118.43701,1
56104,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.060318,-118.420305,1
93271,3400 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.08835,-118.276346,1
52422,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.022375,-118.281269,1
82713,11 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Tue,33.979505,-118.4662,1
56633,10600 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.053396,-118.429527,1
56855,10300 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058077,-118.422725,1
52179,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025597,-118.290728,1
SL136,2901 ROWENA AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.108463,-118.268364,1
56467,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.0504,-118.434005,1
82820,10 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Mon,33.979423,-118.466046,1
56139,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.057137,-118.424945,1
56316,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049476,-118.438615,1
HP278,100 W AVE 51,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.106053,-118.20106,1
52219,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025399,-118.289235,1
93123,3701 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.09071,-118.277979,1
56408,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048871,-118.439184,1
61116,201 S MAIN ST,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.996964,-118.478645,1
SL250,2801 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.082468,-118.27248,1
82807,10 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Mon,33.979084,-118.466631,1
56402,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048783,-118.439615,1
56815,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.055496,-118.426477,1
66344,7001 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $2,1HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101626,-118.344018,1.5
56419,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049221,-118.437923,1
52165,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025597,-118.289637,1
HP186,101 W AVE 57,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,4A-630A Fri,34.109797,-118.192944,1
93244,3600 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.09015,-118.277399,1
56484,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050378,-118.434173,1
56135,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058225,-118.423344,1
66149,6501 W HOLLYWOOD BLVD,Multi-Space,FLAT,$1.50 ,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101677,-118.331403,1.5
56181,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.053384,-118.430393,1
56862,10300 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058458,-118.422192,1
93224,3800 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.091293,-118.279416,1
61366,11 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Mon,33.987307,-118.473014,1
66295,6600 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.10148,-118.335541,1.5
61219,200 S MAIN ST,Multi-Space,FLAT,$1.00 ,1HR,8A-6P Daily,10A-12P Tue,33.997077,-118.478527,1
56439,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049227,-118.438118,1
56241,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048039,-118.442459,1
61357,11 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Mon,33.987506,-118.472694,1
66449,6300 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.10152,-118.329093,1.5
56640,10600 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.053344,-118.429774,1
61241,200 E ROSE AVE,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,8A-10A Mon,33.996212,-118.477459,1
56606,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,15MIN,8A-8P Mon-Sat,,34.051641,-118.432186,1
MD911,2000 CHARLOTTE ST,Single-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.058091,-118.205529,1
66603,1600 N VINE ST,Multi-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.100072,-118.326568,1.5
56102,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.06052,-118.42001,1
56253,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048277,-118.441599,1
66114,6301 W HOLLYWOOD BLVD,Multi-Space,TOD,$2 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101704,-118.327774,2
SA134,1600 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.07705,-118.258288,1
66611,1600 N VINE ST,Multi-Space,FLAT,$1.50 ,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.100562,-118.326574,1.5
56477,10800 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050176,-118.434627,1
56497,10700 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050991,-118.433138,1
93204,3900 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.092065,-118.280131,1
66129,6401 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101687,-118.329934,1.5
61144,201 E ROSE AVE,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,8A-10A Tue,33.996321,-118.477456,1
82816,10 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Mon,33.979362,-118.466149,1
93252,3500 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.089396,-118.276845,1
56258,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048371,-118.441261,1
93114,3501 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.08916,-118.276488,1
52418,600 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.022497,-118.281545,1
66469,6300 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101534,-118.327314,1.5
HP276,100 W AVE 51,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.105881,-118.200933,1
HP281,101 W AVE 51,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.105891,-118.20113,1
56415,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049122,-118.43828,1
52155,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025599,-118.288775,1
56431,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049065,-118.438697,1
56153,10401 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.056187,-118.426318,1
61127,201 S MAIN ST,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.996386,-118.478075,1
52204,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025398,-118.290653,1
56177,10601 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,4HR,NP 9A-11A Daily | PKG 11A-12A Daily,,34.053599,-118.430079,1
61122,201 S MAIN ST,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.996625,-118.478314,1
66464,6300 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,15MIN,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101531,-118.327715,1.5
93135,3801 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.09139,-118.279216,1
56302,10801 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.050312,-118.435613,1
82703,11 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Tue,33.979664,-118.465927,1
66723,6200 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101552,-118.324793,1.5
61444,10 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Tue,33.98747,-118.472499,1
56629,10600 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.053159,-118.429874,1
93263,3500 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.088682,-118.276506,1
66730,6200 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101555,-118.324241,1.5
56248,11000 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048176,-118.44197,1
61352,11 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Mon,33.987613,-118.472522,1
AE170,501 E 2ND ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.047223,-118.237362,1
66404,6600 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101488,-118.334239,1.5
56320,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049369,-118.439,1
82704,11 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Tue,33.979649,-118.465955,1
56859,10300 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058329,-118.422373,1
56404,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,15MIN,8A-8P Mon-Sat,,34.048796,-118.439467,1
93107,3401 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.088523,-118.276186,1
66181,6601 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,2HR,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.101655,-118.335336,1.5
AE334,201 N VIGNES ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Fri,,34.04952,-118.233765,1
56426,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048966,-118.439043,1
52220,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025398,-118.289145,1
66420,6500 W HOLLYWOOD BLVD,Multi-Space,FLAT,$1.50 ,2HR,"TANP 3A-6A | TANP 8P-3A Next Day Thu-Fri-Sat Nights | PKG 8A-8P Mon-Sat, 11A-8P Sun",,34.101507,-118.331704,1.5
56846,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.056979,-118.424302,1
61427,10 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Tue,33.987191,-118.472948,1
56830,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.056221,-118.42542,1
56838,10400 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.056324,-118.42544,1
61324,1501 S MAIN ST,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,10A-12P Mon,33.988546,-118.471562,1
56612,10600 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.052076,-118.431552,1
56265,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048549,-118.440549,1
HP280,101 W AVE 51,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.106009,-118.20122,1
SL324,4301 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.094941,-118.28297,1
61334,101 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,,33.988099,-118.471738,1
61353,11 E WINDWARD AVE,Multi-Space,SEASONAL,$1 - FW/$2 - SS,1HR,8A-6P Daily,11A-1P Mon,33.987591,-118.472556,1
56101,10201 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.060552,-118.419962,1
